land,area,male,female,population,density
Baden-Württemberg,35751.65,5271000,5465000,10736000,300.0
Bayern,70551.57,6103000,6366000,12469000,177.0
Berlin,891.85,1660000,1736000,3396000,3808.0
Brandenburg,29478.61,1267000,1293000,2560000,87.0
Bremen,404.28,321000,342000,663000,1640.0
Hamburg,755.16,849000,894000,1743000,2308.0
Hessen,21114.79,2983000,3109000,6092000,289.0
Mecklenburg-Vorpommern,23180.14,846000,861000,1707000,74.0
Niedersachsen,47624.2,3918000,4076000,7994000,168.0
Nordrhein-Westfalen,34085.29,8797000,9261000,18058000,530.0
Rheinland-Pfalz,19853.36,1990000,2069000,4059000,204.0
Saarland,2568.7,510000,540000,1050000,409.0
Sachsen,18415.51,2083000,2191000,4274000,232.0
Sachsen-Anhalt,20446.31,1206000,1264000,2470000,121.0
Schleswig-Holstein,15799.38,1385000,1448000,2833000,179.0
Thüringen,16172.1,1150000,1185000,2335000,144.0
